"SAMPLE_POINT","SAMPLE_DATE","TEST","TEST_METHOD","RESULT","OPERATOR","RESULT_UNITS","STATUS"
"Coorong - Ewe Island Barrage (Adj to NW end)",25/08/2008 00:00:00,"zinc (total)","Acid digest: ICP-MS (seawater)",".03","<","mg/L",""
"Coorong - Ewe Island Barrage (Adj to NW end)",24/11/2008 10:30:00,"Electrical Conductivity (25C)","electrometric ( in lab)","65400","=","uS/cm",""
"Coorong - Ewe Island Barrage (Adj to NW end)",24/11/2008 10:30:00,"TKN (as N)","Acid digest colorimetric (marine)",".41","=","mg/L",""
"Coorong - Ewe Island Barrage (Adj to NW end)",24/11/2008 10:30:00,"Turbidity","Field nephelometer probe (UofA)","6.8","=","NTU",""
"Coorong - Ewe Island Barrage (Adj to NW end)",24/11/2008 10:30:00,"aluminium (soluble)","Filtration (0.45 um): ICP2",".04","<","mg/L",""
"Coorong - Ewe Island Barrage (Adj to NW end)",24/11/2008 10:30:00,"aluminium (total)","Acid digest: ICP2 (seawater)",".219","=","mg/L",""
"Coorong - Ewe Island Barrage (Adj to NW end)",24/11/2008 10:30:00,"ammonia (as N)","Auto phenate method",".016","=","mg/L",""
"Coorong - Ewe Island Barrage (Adj to NW end)",24/11/2008 10:30:00,"cadmium (total)","Acid digest: ICP-MS (seawater)",".005","<","mg/L",""
"Coorong - Ewe Island Barrage (Adj to NW end)",24/11/2008 10:30:00,"chlorophyll a","Trichromatic: ethanol extraction","1.66","=","ug/L",""
"Coorong - Ewe Island Barrage (Adj to NW end)",24/11/2008 10:30:00,"chlorophyll b","Trichromatic: ethanol extraction",".1","=","ug/L",""
"Coorong - Ewe Island Barrage (Adj to NW end)",24/11/2008 10:30:00,"copper (total)","Acid digest: ICP-MS (seawater)",".01","<","mg/L",""
"Coorong - Ewe Island Barrage (Adj to NW end)",24/11/2008 10:30:00,"iron (soluble)","Filtration (0.45 um): ICP2 (seawater)",".031","=","mg/L",""
"Coorong - Ewe Island Barrage (Adj to NW end)",24/11/2008 10:30:00,"iron (total)","Acid digest: ICP2",".207","=","mg/L",""
"Coorong - Ewe Island Barrage (Adj to NW end)",24/11/2008 10:30:00,"oxidised nitrogen (as N)","Colorimetric: Cd reduction",".011","=","mg/L",""
"Coorong - Ewe Island Barrage (Adj to NW end)",24/11/2008 10:30:00,"pH","Electometric method","8.2","=","pH Units",""
"Coorong - Ewe Island Barrage (Adj to NW end)",24/11/2008 10:30:00,"phosphorus (soluble as P)","MF(0.45 um): colorimetry",".006","=","mg/L",""
"Coorong - Ewe Island Barrage (Adj to NW end)",24/11/2008 10:30:00,"phosphorus (total as P)","Ascorbic acid: (seawater) flow colorimetry",".043","=","mg/L",""
"Coorong - Ewe Island Barrage (Adj to NW end)",24/11/2008 10:30:00,"silver (total)","Acid digest: AAS (seawater)",".002","<","mg/L",""
"Coorong - Ewe Island Barrage (Adj to NW end)",24/11/2008 10:30:00,"total dissolved solids (by EC)","Calculated from EC (AWQC algorithm)","45000","=","mg/L",""
"Coorong - Ewe Island Barrage (Adj to NW end)",24/11/2008 10:30:00,"zinc (soluble)","Filtration (0.45 um): ICP-MS (seawater)",".03","<","mg/L",""
"Coorong - Ewe Island Barrage (Adj to NW end)",24/11/2008 10:30:00,"zinc (total)","Acid digest: ICP-MS (seawater)",".03","<","mg/L",""
"Coorong - Goolwa Channel @ Monument Rd",27/02/2008 10:20:00,"Electrical Conductivity","Electrical Conductivity (Field)","instrument fault","=","uS/cm",""
"Coorong - Goolwa Channel @ Monument Rd",27/02/2008 10:20:00,"Electrical Conductivity (25C)","electrometric ( in lab)","54300","=","uS/cm",""
"Coorong - Goolwa Channel @ Monument Rd",27/02/2008 10:20:00,"TKN (as N)","Acid digest colorimetric (marine)",".4","=","mg/L",""
"Coorong - Goolwa Channel @ Monument Rd",27/02/2008 10:20:00,"Turbidity","Field nephelometer probe (UofA)","14","=","NTU",""
"Coorong - Goolwa Channel @ Monument Rd",27/02/2008 10:20:00,"aluminium (soluble)","Filtration (0.45 um): ICP2 (seawater)",".04","<","mg/L",""
"Coorong - Goolwa Channel @ Monument Rd",27/02/2008 10:20:00,"aluminium (total)","Acid digest: ICP2 (seawater)",".045","=","mg/L",""
"Coorong - Goolwa Channel @ Monument Rd",27/02/2008 10:20:00,"ammonia (as N)","Auto phenate method",".025","=","mg/L",""
"Coorong - Goolwa Channel @ Monument Rd",27/02/2008 10:20:00,"cadmium (total)","Acid digest: ICP-MS (seawater)",".005","<","mg/L",""
"Coorong - Goolwa Channel @ Monument Rd",27/02/2008 10:20:00,"chlorophyll a","Trichromatic: ethanol extraction","4.32","=","ug/L",""
"Coorong - Goolwa Channel @ Monument Rd",27/02/2008 10:20:00,"chlorophyll b","Trichromatic: ethanol extraction",".1","<","ug/L",""
"Coorong - Goolwa Channel @ Monument Rd",27/02/2008 10:20:00,"copper (total)","Acid digest: ICP-MS (seawater)",".011","=","mg/L",""
"Coorong - Goolwa Channel @ Monument Rd",27/02/2008 10:20:00,"iron (soluble)","Filtration (0.45 um): ICP2 (seawater)",".02","<","mg/L",""
"Coorong - Goolwa Channel @ Monument Rd",27/02/2008 10:20:00,"iron (total)","Acid digest: ICP2",".027","=","mg/L",""
"Coorong - Goolwa Channel @ Monument Rd",27/02/2008 10:20:00,"oxidised nitrogen (as N)","Colorimetric: Cd reduction",".005","=","mg/L",""
"Coorong - Goolwa Channel @ Monument Rd",27/02/2008 10:20:00,"pH","Electrometric: YSI556 (EPA field test)","instrument fault","=","pH Units",""
"Coorong - Goolwa Channel @ Monument Rd",27/02/2008 10:20:00,"pH","Electometric method","8.5","=","pH Units",""
"Coorong - Goolwa Channel @ Monument Rd",27/02/2008 10:20:00,"phosphorus (soluble as P)","MF(0.45 um): colorimetry",".013","=","mg/L",""
"Coorong - Goolwa Channel @ Monument Rd",27/02/2008 10:20:00,"phosphorus (total as P)","Ascorbic acid: (seawater) flow colorimetry",".044","=","mg/L",""
"Coorong - Goolwa Channel @ Monument Rd",27/02/2008 10:20:00,"silver (total)","Acid digest: AAS (seawater)",".002","<","mg/L",""
"Coorong - Goolwa Channel @ Monument Rd",27/02/2008 10:20:00,"temperature","field test","instrument fault","=","Degrees C",""
"Coorong - Goolwa Channel @ Monument Rd",27/02/2008 10:20:00,"total dissolved solids (by EC)","Calculated from EC (AWQC algorithm)","36000","=","mg/L",""
"Coorong - Goolwa Channel @ Monument Rd",27/02/2008 10:20:00,"zinc (soluble)","Filtration (0.45 um): ICP-MS (seawater)",".03","<","mg/L",""
"Coorong - Goolwa Channel @ Monument Rd",27/02/2008 10:20:00,"zinc (total)","Acid digest: ICP-MS (seawater)",".03","<","mg/L",""
"Coorong - Goolwa Channel @ Monument Rd",29/05/2008 17:45:00,"Electrical Conductivity (25C)","electrometric ( in lab)","55900","=","uS/cm",""
"Coorong - Goolwa Channel @ Monument Rd",29/05/2008 17:45:00,"TKN (as N)","Acid digest colorimetric (marine)",".58","=","mg/L",""
"Coorong - Goolwa Channel @ Monument Rd",29/05/2008 17:45:00,"Turbidity","Field nephelometer probe (UofA)","9.3","=","NTU",""
"Coorong - Goolwa Channel @ Monument Rd",29/05/2008 17:45:00,"aluminium (soluble)","Filtration (0.45 um): ICP2 (seawater)",".04","<","mg/L",""
"Coorong - Goolwa Channel @ Monument Rd",29/05/2008 17:45:00,"aluminium (total)","Acid digest: ICP2 (seawater)",".066","=","mg/L",""
"Coorong - Goolwa Channel @ Monument Rd",29/05/2008 17:45:00,"ammonia (as N)","Auto phenate method",".019","=","mg/L",""
"Coorong - Goolwa Channel @ Monument Rd",29/05/2008 17:45:00,"cadmium (total)","Acid digest: ICP-MS (seawater)",".005","<","mg/L",""
"Coorong - Goolwa Channel @ Monument Rd",29/05/2008 17:45:00,"chlorophyll a","Trichromatic: ethanol extraction","41.6","=","ug/L",""
"Coorong - Goolwa Channel @ Monument Rd",29/05/2008 17:45:00,"chlorophyll b","Trichromatic: ethanol extraction","2.06","=","ug/L",""
"Coorong - Goolwa Channel @ Monument Rd",29/05/2008 17:45:00,"copper (total)","Acid digest: ICP-MS (seawater)",".01","<","mg/L",""
"Coorong - Goolwa Channel @ Monument Rd",29/05/2008 17:45:00,"iron (soluble)","Filtration (0.45 um): ICP2 (seawater)",".02","<","mg/L",""
"Coorong - Goolwa Channel @ Monument Rd",29/05/2008 17:45:00,"iron (total)","Acid digest: ICP2",".092","=","mg/L",""
"Coorong - Goolwa Channel @ Monument Rd",29/05/2008 17:45:00,"oxidised nitrogen (as N)","Colorimetric: Cd reduction",".011","=","mg/L",""
"Coorong - Goolwa Channel @ Monument Rd",29/05/2008 17:45:00,"pH","Electometric method","8.6","=","pH Units",""
"Coorong - Goolwa Channel @ Monument Rd",29/05/2008 17:45:00,"phosphorus (soluble as P)","MF(0.45 um): colorimetry",".018","=","mg/L",""
"Coorong - Goolwa Channel @ Monument Rd",29/05/2008 17:45:00,"phosphorus (total as P)","Ascorbic acid: (seawater) flow colorimetry",".081","=","mg/L",""
"Coorong - Goolwa Channel @ Monument Rd",29/05/2008 17:45:00,"silver (total)","Acid digest: AAS (seawater)",".002","<","mg/L",""
"Coorong - Goolwa Channel @ Monument Rd",29/05/2008 17:45:00,"total dissolved solids (by EC)","Calculated from EC (AWQC algorithm)","37000","=","mg/L",""
"Coorong - Goolwa Channel @ Monument Rd",29/05/2008 17:45:00,"zinc (soluble)","Filtration (0.45 um): ICP-MS (seawater)",".037","=","mg/L",""
"Coorong - Goolwa Channel @ Monument Rd",29/05/2008 17:45:00,"zinc (total)","Acid digest: ICP-MS (seawater)",".067","=","mg/L",""
"Coorong - Goolwa Channel @ Monument Rd",25/08/2008 00:00:00,"Electrical Conductivity (25C)","electrometric ( in lab)","57700","=","uS/cm",""
"Coorong - Goolwa Channel @ Monument Rd",25/08/2008 00:00:00,"TKN (as N)","Kjeldahl digest/ automated colorimetric method",".47","=","mg/L",""
"Coorong - Goolwa Channel @ Monument Rd",25/08/2008 00:00:00,"Turbidity","Field nephelometer probe (UofA)","2.9","=","NTU",""
"Coorong - Goolwa Channel @ Monument Rd",25/08/2008 00:00:00,"aluminium (soluble)","Filtration (0.45 um): ICP2 (seawater)",".04","<","mg/L",""
"Coorong - Goolwa Channel @ Monument Rd",25/08/2008 00:00:00,"aluminium (total)","Acid digest: ICP2 (seawater)",".078","=","mg/L",""
"Coorong - Goolwa Channel @ Monument Rd",25/08/2008 00:00:00,"ammonia (as N)","Auto phenate method",".005","<","mg/L",""
"Coorong - Goolwa Channel @ Monument Rd",25/08/2008 00:00:00,"cadmium (total)","Acid digest: ICP-MS (seawater)",".005","<","mg/L",""
"Coorong - Goolwa Channel @ Monument Rd",25/08/2008 00:00:00,"chlorophyll a","Trichromatic: ethanol extraction","4.1","=","ug/L",""
"Coorong - Goolwa Channel @ Monument Rd",25/08/2008 00:00:00,"chlorophyll b","Trichromatic: ethanol extraction",".1","<","ug/L",""
"Coorong - Goolwa Channel @ Monument Rd",25/08/2008 00:00:00,"copper (total)","Acid digest: ICP-MS (seawater)",".028","=","mg/L",""
"Coorong - Goolwa Channel @ Monument Rd",25/08/2008 00:00:00,"iron (soluble)","Filtration (0.45 um): ICP2 (seawater)",".02","<","mg/L",""
"Coorong - Goolwa Channel @ Monument Rd",25/08/2008 00:00:00,"iron (total)","Acid digest: ICP2",".104","=","mg/L",""
"Coorong - Goolwa Channel @ Monument Rd",25/08/2008 00:00:00,"oxidised nitrogen (as N)","Colorimetric: Cd reduction",".013","=","mg/L",""
"Coorong - Goolwa Channel @ Monument Rd",25/08/2008 00:00:00,"pH","Electometric method","8.2","=","pH Units",""
"Coorong - Goolwa Channel @ Monument Rd",25/08/2008 00:00:00,"phosphorus (soluble as P)","MF(0.45 um): colorimetry",".007","=","mg/L",""
"Coorong - Goolwa Channel @ Monument Rd",25/08/2008 00:00:00,"phosphorus (total as P)","Ascorbic acid: automated flow colorimetry (water)",".055","=","mg/L",""
"Coorong - Goolwa Channel @ Monument Rd",25/08/2008 00:00:00,"silver (total)","Acid digest: AAS (seawater)",".002","<","mg/L",""
"Coorong - Goolwa Channel @ Monument Rd",25/08/2008 00:00:00,"total dissolved solids (by EC)","Calculated from EC (AWQC algorithm)","39000","=","mg/L",""
"Coorong - Goolwa Channel @ Monument Rd",25/08/2008 00:00:00,"zinc (soluble)","Filtration (0.45 um): ICP-MS (seawater)",".03","<","mg/L",""
"Coorong - Goolwa Channel @ Monument Rd",25/08/2008 00:00:00,"zinc (total)","Acid digest: ICP-MS (seawater)",".03","<","mg/L",""
"Coorong - Goolwa Channel @ Monument Rd",24/11/2008 08:00:00,"Electrical Conductivity (25C)","electrometric ( in lab)","61700","=","uS/cm",""
"Coorong - Goolwa Channel @ Monument Rd",24/11/2008 08:00:00,"TKN (as N)","Acid digest colorimetric (marine)",".36","=","mg/L",""
"Coorong - Goolwa Channel @ Monument Rd",24/11/2008 08:00:00,"Turbidity","Field nephelometer probe (UofA)","3.9","=","NTU",""
"Coorong - Goolwa Channel @ Monument Rd",24/11/2008 08:00:00,"aluminium (soluble)","Filtration (0.45 um): ICP2",".04","<","mg/L",""
"Coorong - Goolwa Channel @ Monument Rd",24/11/2008 08:00:00,"aluminium (total)","Acid digest: ICP2 (seawater)",".248","=","mg/L",""
"Coorong - Goolwa Channel @ Monument Rd",24/11/2008 08:00:00,"ammonia (as N)","Auto phenate method",".006","=","mg/L",""
"Coorong - Goolwa Channel @ Monument Rd",24/11/2008 08:00:00,"cadmium (total)","Acid digest: ICP-MS (seawater)",".005","<","mg/L",""
"Coorong - Goolwa Channel @ Monument Rd",24/11/2008 08:00:00,"chlorophyll a","Trichromatic: ethanol extraction","3.77","=","ug/L",""
"Coorong - Goolwa Channel @ Monument Rd",24/11/2008 08:00:00,"chlorophyll b","Trichromatic: ethanol extraction",".1","<","ug/L",""
"Coorong - Goolwa Channel @ Monument Rd",24/11/2008 08:00:00,"copper (total)","Acid digest: ICP-MS (seawater)",".054","=","mg/L",""
"Coorong - Goolwa Channel @ Monument Rd",24/11/2008 08:00:00,"iron (soluble)","Filtration (0.45 um): ICP2 (seawater)",".022","=","mg/L",""
"Coorong - Goolwa Channel @ Monument Rd",24/11/2008 08:00:00,"iron (total)","Acid digest: ICP2",".32","=","mg/L",""
"Coorong - Goolwa Channel @ Monument Rd",24/11/2008 08:00:00,"oxidised nitrogen (as N)","Colorimetric: Cd reduction",".028","=","mg/L",""
"Coorong - Goolwa Channel @ Monument Rd",24/11/2008 08:00:00,"pH","Electometric method","8.2","=","pH Units",""
"Coorong - Goolwa Channel @ Monument Rd",24/11/2008 08:00:00,"phosphorus (soluble as P)","MF(0.45 um): colorimetry",".009","=","mg/L",""
"Coorong - Goolwa Channel @ Monument Rd",24/11/2008 08:00:00,"phosphorus (total as P)","Ascorbic acid: (seawater) flow colorimetry",".046","=","mg/L",""
"Coorong - Goolwa Channel @ Monument Rd",24/11/2008 08:00:00,"silver (total)","Acid digest: AAS (seawater)",".002","<","mg/L",""
"Coorong - Goolwa Channel @ Monument Rd",24/11/2008 08:00:00,"total dissolved solids (by EC)","Calculated from EC (AWQC algorithm)","42000","=","mg/L",""
"Coorong - Goolwa Channel @ Monument Rd",24/11/2008 08:00:00,"zinc (soluble)","Filtration (0.45 um): ICP-MS (seawater)",".091","=","mg/L",""
"Coorong - Goolwa Channel @ Monument Rd",24/11/2008 08:00:00,"zinc (total)","Acid digest: ICP-MS (seawater)",".151","=","mg/L",""
"Coorong - Salt Ck outlet @ Salt Creek",27/02/2008 17:15:00,"Electrical Conductivity","Electrical Conductivity (Field)","215490","=","uS/cm",""
"Coorong - Salt Ck outlet @ Salt Creek",27/02/2008 17:15:00,"Electrical Conductivity (25C)","electrometric (YSI 556 field probe)","214100","=","uS/cm",""
"Coorong - Salt Ck outlet @ Salt Creek",27/02/2008 17:15:00,"pH","Electrometric: YSI556 (EPA field test)","7.89","=","pH Units",""
"Coorong - Salt Ck outlet @ Salt Creek",27/02/2008 17:15:00,"salinity","specific conductivity (YSI field measurement)","192.47","=","ppt",""
"Coorong - Salt Ck outlet @ Salt Creek",27/02/2008 17:15:00,"temperature","field test","25.21","=","Degrees C",""
"Coorong - Salt Ck outlet @ Salt Creek",27/02/2008 17:15:00,"total dissolved solids (by EC)","Calculation - 0.65xEC(25C)","139200","=","mg/L",""
"Coorong - Salt Creek footbridge.",27/02/2008 16:55:00,"Electrical Conductivity","Electrical Conductivity (Field)","178113","=","uS/cm",""
"Coorong - Salt Creek footbridge.",27/02/2008 16:55:00,"Electrical Conductivity (25C)","electrometric (YSI 556 field probe)","181500","=","uS/cm",""
"Coorong - Salt Creek footbridge.",27/02/2008 16:55:00,"pH","Electrometric: YSI556 (EPA field test)","8.11","=","pH Units",""
"Coorong - Salt Creek footbridge.",27/02/2008 16:55:00,"salinity","specific conductivity (YSI field measurement)","153.38","=","ppt",""
"Coorong - Salt Creek footbridge.",27/02/2008 16:55:00,"temperature","field test","24.02","=","Degrees C",""
"Coorong - Salt Creek footbridge.",27/02/2008 16:55:00,"total dissolved solids (by EC)","Calculation - 0.65xEC(25C)","118000","=","mg/L",""
"Coorong - Tauwitchere Barrage",27/02/2008 00:00:00,"Chlorophyll comment","Comment for 95% ethanol extraction","0","=","Text ",""
"Coorong - Tauwitchere Barrage",27/02/2008 00:00:00,"Electrical Conductivity (25C)","electrometric ( in lab)","52800","=","uS/cm",""
"Coorong - Tauwitchere Barrage",27/02/2008 00:00:00,"Nitrate + Nitrite as N","Auto. Colorimetric Cadmium Reduction SFA (Field Filtered) (Water)",".01","=","mg/L",""
"Coorong - Tauwitchere Barrage",27/02/2008 00:00:00,"Phosphorus - Filterable Reactive as P","Auto Colorimetric (Field Filtered)",".007","=","mg/L",""
