Date,MAPL,MBO,SRS,Swan Reach-Mypolonga,Tailem Bend WTP,,,,,,,,,,
6/07/2018,188.76,173.91,20.74,0.4,6.77,,,,,,,,,,
7/07/2018,252.24,353.12,17.94,0.36,5.08,,,,,,,,,,
8/07/2018,231.96,289.95,34.97,0.31,5.64,,,,,,,,,,
9/07/2018,141.32,120.28,25.07,0.34,4.99,,,,,,,,,,
10/07/2018,94.47,41.73,13.72,0.32,5.31,,,,,,,,,,
11/07/2018,98.62,149.91,14.23,0.35,5.03,,,,,,,,,,
12/07/2018,153.73,227.59,20.68,0.28,4.49,,,,,,,,,,
13/07/2018,121.14,49.68,15.02,0.3,3.48,,,,,,,,,,
14/07/2018,137.2,256.48,13.89,0.32,8.27,,,,,,,,,,
15/07/2018,225.45,337.02,34.76,0.36,5.42,,,,,,,,,,
16/07/2018,215.61,343.01,31.49,0.36,8.18,,,,,,,,,,
17/07/2018,136.38,304.51,19.87,0.34,6.35,,,,,,,,,,
18/07/2018,203.88,324.2,0,0.32,5.62,,,,,,,,,,
19/07/2018,175.84,288.07,20.61,0.33,4.85,,,,,,,,,,
20/07/2018,208.58,268.62,31.66,0.32,4.56,,,,,,,,,,
21/07/2018,185.18,258.54,17.54,0.3,4.52,,,,,,,,,,
22/07/2018,210.95,260.00,35.81,0.34,5.94,,,,,,,,,,
23/07/2018,219.95,268.92,41.68,0.32,5.84,,,,,,,,,,
24/07/2018,207.95,322.57,16.56,0.37,5.29,,,,,,,,,,
25/07/2018,245.76,321.96,19.62,0.34,4.99,,,,,,,,,,
26/07/2018,206.71,293.99,14.04,0.34,3.68,,,,,,,,,,
27/07/2018,289.15,353.31,20.09,0.32,4.95,,,,,,,,,,
28/07/2018,263.32,333.1,15.39,0.29,8.02,,,,,,,,,,
29/07/2018,232.08,332.18,35.07,0.4,5.54,,,,,,,,,,
30/07/2018,297.55,366.31,32.43,0.37,2.44,,,,,,,,,,
31/07/2018,243.84,306.07,13.42,0.32,6.7,,,,,,,,,,
1/08/2018,236.92,310.65,23.88,0.35,3.61,,,,,,,,,,
2/08/2018,243.95,347.05,11.66,0.26,5.04,,,,,,,,,,
3/08/2018,290.45,360.78,23.51,0.3,3.9,,,,,,,,,,
4/08/2018,260.81,346.75,15.83,0.29,3.37,,,,,,,,,,
5/08/2018,259.94,360.65,35.11,0.24,5.74,,,,,,,,,,
6/08/2018,291.55,334.9,28.18,0.23,4.89,,,,,,,,,,
7/08/2018,249.87,279.58,15.54,0.35,4.61,,,,,,,,,,
8/08/2018,167.23,7.22,13.47,0.23,5.00,,,,,,,,,,
9/08/2018,185.77,91.74,29.66,0.39,2.72,,,,,,,,,,
10/08/2018,130.39,241.64,25.16,0.31,4.19,,,,,,,,,,
11/08/2018,150.30,204.77,14.28,0.25,5.37,,,,,,,,,,
12/08/2018,276.45,356.94,34.55,0.28,4.11,,,,,,,,,,
13/08/2018,285.50,330.55,22.67,0.31,4.47,,,,,,,,,,
14/08/2018,163.12,189.94,12.61,0.23,7.04,,,,,,,,,,
15/08/2018,184.01,225.52,13.82,0.30,4.22,,,,,,,,,,
16/08/2018,229.38,270.89,22.51,0.23,5.08,,,,,,,,,,
17/08/2018,102.38,48.29,19.22,0.23,6.69,,,,,,,,,,
18/08/2018,238.76,216.44,15.64,0.20,5.53,,,,,,,,,,
19/08/2018,269.22,316.01,35.51,0.26,2.95,,,,,,,,,,
20/08/2018,239.64,200.11,22.55,0.29,5.93,,,,,,,,,,
21/08/2018,125.27,31.62,10.91,0.26,3.91,,,,,,,,,,
22/08/2018,130.80,7.85,12.16,0.23,4.48,,,,,,,,,,
23/08/2018,157.01,0.00,29.66,0.89,12.58,,,,,,,,,,
24/08/2018,138.18,185.70,21.58,0.26,3.31,,,,,,,,,,
25/08/2018,210.72,204.87,19.26,0.28,7.27,,,,,,,,,,
26/08/2018,188.73,110.36,35.57,0.31,4.10,,,,,,,,,,
27/08/2018,231.06,222.88,31.80,0.36,7.33,,,,,,,,,,
28/08/2018,109.59,107.02,16.74,0.32,2.97,,,,,,,,,,
29/08/2018,148.28,154.05,49.87,0.32,8.97,,,,,,,,,,
30/08/2018,202.77,233.07,29.66,0.40,2.72,,,,,,,,,,
31/08/2018,142.49,157.61,52.21,0.31,5.98,,,,,,,,,,
1/09/2018,172.85,156.43,52.54,0.28,5.18,,,,,,,,,,
2/09/2018,168.77,77.47,55.46,0.33,3.40,,,,,,,,,,
3/09/2018,151.58,77.58,42.49,0.27,6.81,,,,,,,,,,
4/09/2018,139.18,50.75,45.05,0.28,3.49,,,,,,,,,,
5/09/2018,151.07,184.91,55.52,0.34,6.19,,,,,,,,,,
6/09/2018,173.79,272.6,50.31,0.29,6.63,,,,,,,,,,
7/09/2018,193.11,234.85,44.89,0.37,7.71,,,,,,,,,,
8/09/2018,128.52,67.05,61.1,0.3,5.06,,,,,,,,,,
9/09/2018,284.4,321.02,64.05,0.32,5.08,,,,,,,,,,
10/09/2018,220.76,236.48,59.89,0.45,5.35,,,,,,,,,,
11/09/2018,182.61,0.06,46.28,0.32,6.52,,,,,,,,,,
12/09/2018,244.07,17.11,66.78,0.33,7.64,,,,,,,,,,
13/09/2018,268.75,0.05,57.27,0.3,5.57,,,,,,,,,,
14/09/2018,273.31,10.64,61.53,0.5,8.15,,,,,,,,,,
15/09/2018,280.84,248.41,66.34,0.52,7.11,,,,,,,,,,
16/09/2018,281.83,356.34,51.54,0.37,4.37,,,,,,,,,,
17/09/2018,211.75,289.74,49.98,0.46,7,,,,,,,,,,
18/09/2018,161.75,360.74,49.86,0.38,6.47,,,,,,,,,,
19/09/2018,0.08,297.63,31.88,0.41,7.31,,,,,,,,,,
20/09/2018,0.12,253.41,22.49,0.38,5.18,,,,,,,,,,
21/09/2018,59.41,223.85,26.32,0.38,5.9,,,,,,,,,,
22/09/2018,169.84,213.73,6.7,0.53,2.23,,,,,,,,,,
23/09/2018,225.985,180.9055,20.08333333,0.455,4.346666667,,,,,,,,,,
24/09/2018,231.46,334.39,34.51,0.54,6.25,,,,,,,,,,
25/09/2018,233.61,8.11,27.65,0.43,7.04,,,,,,,,,,
26/09/2018,241.01,9.37,12.85,0.53,7.49,,,,,,,,,,
27/09/2018,191.62,10.57,26.64,0.47,7.68,,,,,,,,,,
28/09/2018,225.985,180.9055,20.08333333,0.455,4.346666667,,,,,,,,,,
29/09/2018,259.01,154.54,16.45,0.4,6.42,,,,,,,,,,
30/09/2018,274.48,339.93,20.08333333,0.53,4.346666667,,,,,,,,,,
1/10/2018,281.23,364.61,35.69,0.6,6.61,,,,,,,,,,
2/10/2018,215.51,306.37,33.48,0.58,7.48,,,,,,,,,,
3/10/2018,269.06,346.61,23.85,0.47,8.94,,,,,,,,,,
4/10/2018,253.63,319.02,24.94,0.58,7.15,,,,,,,,,,
5/10/2018,152.52,240.03,17.99,0.5,5.52,,,,,,,,,,
6/10/2018,205.76,262.97,13.44,0.48,7.2,,,,,,,,,,
7/10/2018,260.72,292.88,37.02,0.62,6.97,,,,,,,,,,
8/10/2018,291.65,343.64,55.04,0.62,9.82,,,,,,,,,,
9/10/2018,226.81,19.01,24.98,0.44,8.2,,,,,,,,,,
10/10/2018,241.81,8.96,28.29,0.39,4.84,,,,,,,,,,
11/10/2018,246.22,128.08,28.27,0.44,6.77,,,,,,,,,,
12/10/2018,221.73,334.1,25.7,0.35,9.8,,,,,,,,,,
13/10/2018,308.67,355.98,28.6,0.42,8.32,,,,,,,,,,
14/10/2018,307.18,344.38,40.52,0.47,7.66,,,,,,,,,,
15/10/2018,286.24,363.83,33.56,0.5,6.74,,,,,,,,,,
16/10/2018,238.71,355,9.76,0.32,7.5,,,,,,,,,,
17/10/2018,239.18,357.08,26.26,0.32,5.88,,,,,,,,,,
18/10/2018,235.52,195.68,27.37,0.37,4.92,,,,,,,,,,
19/10/2018,121.29,90.65,32.63,0.47,6.9,,,,,,,,,,
20/10/2018,332.18,354.5,28.83,0.52,5.84,,,,,,,,,,
21/10/2018,322.52,343.56,46.33,0.58,7.55,,,,,,,,,,
22/10/2018,342.19,355.36,31.93,0.65,7.6,,,,,,,,,,
23/10/2018,315.75,333.13,21.94,0.47,8.64,,,,,,,,,,
24/10/2018,294.46,263.46,29.91,0.5,9.44,,,,,,,,,,
25/10/2018,245.96,217.48,44.99,0.5,4.99,,,,,,,,,,
26/10/2018,163.52,266,32.4,0.48,13.39,,,,,,,,,,
27/10/2018,224.95,203.17,29.44,0.66,13.11,,,,,,,,,,
28/10/2018,334.15,292.82,60.06,0.58,7.7,,,,,,,,,,
29/10/2018,323.57,336.61,31.73,0.65,10.6,,,,,,,,,,
30/10/2018,206.6,165.82,42.77,0.71,5.46,,,,,,,,,,
31/10/2018,223.8,223.48,44.02,0.71,14.13,,,,,,,,,,
1/11/2018,252.28,262.1,37.47,0.6900001,12.06,,,,,,,,,,
2/11/2018,256.27,299.58,34.61,0.61,10.38,,,,,,,,,,
3/11/2018,282.19,327.94,45.7,0.72,7.33,,,,,,,,,,
4/11/2018,279.2,184.55,61.69,0.56,10.64,,,,,,,,,,
5/11/2018,278.01,335.5,33.07,0.47,9.54,,,,,,,,,,
6/11/2018,300.82,296.38,15.22,0.39,8.6,,,,,,,,,,
7/11/2018,322.48,315.93,25,0.42,5.21,,,,,,,,,,
8/11/2018,272.54,355.51,9.99,0.56,7.48,,,,,,,,,,
9/11/2018,303,336.25,14.41,0.38,5.13,,,,,,,,,,
10/11/2018,328.07,345.83,16.99,0.53,10.98,,,,,,,,,,
11/11/2018,321.26,357.77,47.33,0.64,8.68,,,,,,,,,,
12/11/2018,284.65,310.28,56.31,0.71,9.23,,,,,,,,,,
13/11/2018,286.74,319.31,25.6,0.52,10.6,,,,,,,,,,
14/11/2018,284.54,332.55,27.31,0.45,9.01,,,,,,,,,,
15/11/2018,277.13,346.75,26.93,0.52,10.13,,,,,,,,,,
16/11/2018,328.71,345.74,25.09,0.5700001,7.6,,,,,,,,,,
17/11/2018,232.86,360.91,23.42,0.62,9.83,,,,,,,,,,
18/11/2018,211.84,359.66,64.05,0.66,9.75,,,,,,,,,,
19/11/2018,217.03,254.02,53.6,0.73,9.38,,,,,,,,,,
20/11/2018,138.41,45.01,20.86,0.58,9.03,,,,,,,,,,
21/11/2018,188.62,15.5,31.51,0.39,6.53,,,,,,,,,,
22/11/2018,208.86,5.68,23.01,0.29,7.74,,,,,,,,,,
23/11/2018,199.85,56.34,17.66,0.49,7.11,,,,,,,,,,
24/11/2018,219.58,13.26,14.5,0.41,5.11,,,,,,,,,,
25/11/2018,203.4,0.05,44.16,0.46,7.43,,,,,,,,,,
26/11/2018,219.31,62.54,45.61,0.47,5.45,,,,,,,,,,
27/11/2018,212.94,39.72,8.15,0.44,9.14,,,,,,,,,,
28/11/2018,275.03,9.21,16.07,0.38,9.64,,,,,,,,,,
29/11/2018,288.59,9.67,14.55,0.38,6.69,,,,,,,,,,
30/11/2018,296.08,10.01,18.77,0.55,9.98,,,,,,,,,,
1/12/2018,224.09,89.59,19.04,0.57,11.35,,,,,,,,,,
2/12/2018,338.62,102.99,63.6,0.57,7.25,,,,,,,,,,
3/12/2018,331.2,59.78,43.53,0.54,8.42,,,,,,,,,,
4/12/2018,304.77,51.47,14.65,0.61,9.84,,,,,,,,,,
5/12/2018,247.12,98.81,22.7,0.56,6.06,,,,,,,,,,
6/12/2018,278.79,75.32,40.15,0.77,14.9,,,,,,,,,,
7/12/2018,209.93,203.83,39.78,0.78,13.48,,,,,,,,,,
8/12/2018,158.34,198.52,35.92,0.53,11.27,,,,,,,,,,
9/12/2018,221.88,253.61,63.87,0.44,10.98,,,,,,,,,,
10/12/2018,279.13,123.07,57.62,0.57,7.92,,,,,,,,,,
11/12/2018,294.03,304.85,23.19,0.51,11.34,,,,,,,,,,
12/12/2018,279.75,171.46,26.33,0.67,9.7,,,,,,,,,,
13/12/2018,166.76,180.75,0,0.6,11.16,,,,,,,,,,
14/12/2018,299.61,323.37,17.18,0.62,8.25,,,,,,,,,,
15/12/2018,308.32,233.56,22.72,0.49,6.15,,,,,,,,,,
16/12/2018,340.07,182.97,33.68,0.63,8.47,,,,,,,,,,
17/12/2018,318.91,202.04,52.23,0.41,5.45,,,,,,,,,,
18/12/2018,296.53,195.08,13.09,0.78,6.64,,,,,,,,,,
19/12/2018,159.66,157.12,7.05,0.61,8.12,,,,,,,,,,
20/12/2018,229.34,14.2,27.34,0.54,9.05,,,,,,,,,,
21/12/2018,317.6,186.64,30.91,0.49,8.49,,,,,,,,,,
22/12/2018,289.72,356.47,29.67,0.46,6.17,,,,,,,,,,
23/12/2018,320.09,355.57,63.96,0.67,8.04,,,,,,,,,,
24/12/2018,299.69,280.52,60.31,0.72,12.13,,,,,,,,,,
25/12/2018,202.82,255.46,28.02,0.66,11.72,,,,,,,,,,
26/12/2018,198.94,345.19,63.98,0.59,9.36,,,,,,,,,,
27/12/2018,173.77,269.34,33.7,0.74,11.22,,,,,,,,,,
28/12/2018,193.85,214.58,19.48,0.69,12.85,,,,,,,,,,
29/12/2018,162.16,100.5,24.98,0.67,11.35,,,,,,,,,,
30/12/2018,208.63,170.67,63.68,0.53,11.48,,,,,,,,,,
31/12/2018,217.26,179.15,40.25,0.46,11.81,,,,,,,,,,
1/01/2019,266.54,212.45,17.06,0.67,11.93,,,,,,,,,,
2/01/2019,279.54,358.27,53.78,0.69,10.34,,,,,,,,,,
3/01/2019,225.08,190.34,23.69,0.74,11.09,,,,,,,,,,
4/01/2019,172.34,155.89,35.14,0.76,13.1,,,,,,,,,,
5/01/2019,264.31,231.94,27.8,0.55,12.19,,,,,,,,,,
6/01/2019,297.84,352.23,63.71,0.56,9.97,,,,,,,,,,
7/01/2019,306.38,364.32,44.91,0.64,11.88,,,,,,,,,,
8/01/2019,271.85,256.07,24.38,0.7,11.62,,,,,,,,,,
9/01/2019,274.91,185.08,24.56,0.71,12.82,,,,,,,,,,
10/01/2019,278.39,127.04,21.85,0.53,10.35,,,,,,,,,,
11/01/2019,284.85,117.4,24.48,0.67,15.58,,,,,,,,,,
12/01/2019,203.82,109.59,37.24,0.81,17.44,,,,,,,,,,
13/01/2019,266.93,270.36,64.01,0.81,12.13,,,,,,,,,,
14/01/2019,257.1,146.09,54.06,0.8200001,14.74,,,,,,,,,,
15/01/2019,126.91,38.93,23.45,0.78,13.57,,,,,,,,,,
16/01/2019,159.51,23.08,25.62,0.79,14.68,,,,,,,,,,
17/01/2019,186.26,23.23,43.42,0.81,14.31,,,,,,,,,,
18/01/2019,161.36,72.21,35.97,0.69,11.7,,,,,,,,,,
19/01/2019,184.57,206.48,31.28,0.51,9.56,,,,,,,,,,
20/01/2019,288.31,360.7,64.03,0.75,8.8,,,,,,,,,,
21/01/2019,266.17,338.6,63.53,0.69,13.66,,,,,,,,,,
22/01/2019,145.4,51.71,37.94,0.79,11.87,,,,,,,,,,
23/01/2019,144.61,56.25,36.15,0.88,14.83,,,,,,,,,,
24/01/2019,180.5,124.79,35.41,0.9,13.72,,,,,,,,,,
25/01/2019,141.77,12.2,30.36,0.78,14.39,,,,,,,,,,
26/01/2019,188.67,51.81,40.48,0.77,12.13,,,,,,,,,,
27/01/2019,207.87,258.23,63.89,0.74,11.04,,,,,,,,,,
28/01/2019,208.28,238.49,64.03,0.78,11.48,,,,,,,,,,
29/01/2019,203.09,201.19,48.39,0.78,10.77,,,,,,,,,,
30/01/2019,153.9,34.3,31.26,0.74,13.61,,,,,,,,,,
31/01/2019,145.62,182.13,35.78,0.77,11.4,,,,,,,,,,
1/02/2019,193.28,350.51,41.24,15.56,11.35,,,,,,,,,,
2/02/2019,200.46,233.92,38.69,0.87,10.36,,,,,,,,,,
3/02/2019,204.67,159.2,63.8,0.95,13.31,,,,,,,,,,
4/02/2019,219.7,162.14,50.1,1.15,12.16,,,,,,,,,,
5/02/2019,278.76,355.11,39.54,1.26,11.01,,,,,,,,,,
6/02/2019,176.68,323.72,26.47,1.24,11.21,,,,,,,,,,
7/02/2019,130.67,84.43,24.79,0.88,7.78,,,,,,,,,,
8/02/2019,224.16,207.56,30.9,0.93,9.19,,,,,,,,,,
9/02/2019,273.59,354.57,26.07,0.48,9.1,,,,,,,,,,
10/02/2019,252.33,362.94,64.07,0.7,9.47,,,,,,,,,,
11/02/2019,259.13,326.31,52.11,0.68,9.12,,,,,,,,,,
12/02/2019,84.935,146.9405,29.195,0.6,8.655,,,,,,,,,,
13/02/2019,84.935,146.9405,29.195,0.6,8.655,,,,,,,,,,
14/02/2019,45.4,16.28,25.17,0.49,8.2,,,,,,,,,,
15/02/2019,195.73,10.49,25,0.67,8.51,,,,,,,,,,
16/02/2019,141.31,12.34,16.04,0.57,10.94,,,,,,,,,,
17/02/2019,146.37,152.06,54.38,0.78,10.53,,,,,,,,,,
18/02/2019,120.03,286.53,58.11,0.77,10.61,,,,,,,,,,
19/02/2019,138.72,300.22,22.84,0.65,8.72,,,,,,,,,,
20/02/2019,159.55,42.75,25.4,0.6,10.75,,,,,,,,,,
21/02/2019,172.01,99.12,23.52,0.63,10.17,,,,,,,,,,
22/02/2019,208.97,303.19,27.69,1.09,10.56,,,,,,,,,,
23/02/2019,251.02,363.85,30.2,0.74,11.7,,,,,,,,,,
24/02/2019,278.97,363.39,63.98,0.87,10.05,,,,,,,,,,
25/02/2019,278.41,361.22,75.42,0.83,10.96,,,,,,,,,,
26/02/2019,194.48,208.81,26.56,0.72,12.02,,,,,,,,,,
27/02/2019,212.46,279.56,35.96,0.76,11.4,,,,,,,,,,
28/02/2019,197.94,254.34,39.19,0.75,11.79,,,,,,,,,,
1/03/2019,222.78,215.74,40.31,0.73,13.02,,,,,,,,,,
2/03/2019,216.68,209.77,41.91,0.78,12.18,,,,,,,,,,
3/03/2019,203.44,212,55.28,0.88,14.43,,,,,,,,,,
4/03/2019,238.7,250.37,78.99,0.61,10.14,,,,,,,,,,
5/03/2019,240.73,268.01,37.41,0.73,11.22,,,,,,,,,,
6/03/2019,271.49,340.99,51.7,0.51,10.04,,,,,,,,,,
7/03/2019,279.5,354.79,42.54,0.54,8.64,,,,,,,,,,
8/03/2019,248.81,285.05,29.11,0.78,10.08,,,,,,,,,,
9/03/2019,255.32,343.92,31.03,0.8,7.8,,,,,,,,,,
10/03/2019,275.75,300.13,64.38,0.78,11.02,,,,,,,,,,
11/03/2019,275.75,360.7,65.04,0.66,10.28,,,,,,,,,,
12/03/2019,276.69,353.72,49.12,0.64,11,,,,,,,,,,
13/03/2019,236.15,269.12,21.86,0.65,7.78,,,,,,,,,,
14/03/2019,222.92,242.34,27.91,0.67,8.83,,,,,,,,,,
15/03/2019,257.38,281.79,26.57,0.72,9.26,,,,,,,,,,
16/03/2019,276.49,358.08,26.74,0.7,9.55,,,,,,,,,,
17/03/2019,261.88,358.8,67.49,0.74,9.16,,,,,,,,,,
18/03/2019,272.7,343.26,60,0.87,10.44,,,,,,,,,,
19/03/2019,241.74,279.47,31.06,0.69,9.08,,,,,,,,,,
20/03/2019,200.63,202.46,27.99,0.61,10.96,,,,,,,,,,
21/03/2019,221.91,195.82,26,0.66,11.57,,,,,,,,,,
22/03/2019,277.98,284.48,28.94,0.64,8.99,,,,,,,,,,
23/03/2019,277.56,346.41,22.54,0.63,9.5,,,,,,,,,,
24/03/2019,277.95,354.03,64.05,0.67,8.37,,,,,,,,,,
25/03/2019,276.66,335.54,45.1,0.62,9.04,,,,,,,,,,
26/03/2019,254.29,336.83,20.22,0.53,6.68,,,,,,,,,,
27/03/2019,232.21,243.41,14.24,0.58,9.67,,,,,,,,,,
28/03/2019,187.61,72.4,13.21,0.59,9.44,,,,,,,,,,
29/03/2019,220.5,161.4,17.8,0.6,10.0,,,,,,,,,,
30/03/2019,264.64,354.63,15.66,0.48,8.37,,,,,,,,,,
31/03/2019,277.16,195.01,61.13,0.54,6.45,,,,,,,,,,
1/04/2019,252.38,250.63,43.92,0.69,8.68,,,,,,,,,,
2/04/2019,209.99,212.4,12.56,0.62,9.68,,,,,,,,,,
3/04/2019,255.21,311.63,26.58,0.77,10.17,,,,,,,,,,
4/04/2019,275.38,339.93,28.81,0.7,8.74,,,,,,,,,,
5/04/2019,251.56,199.1,40.57,0.68,10.31,,,,,,,,,,
6/04/2019,253.9,302.56,29.8,0.67,7.8,,,,,,,,,,
7/04/2019,249.8,346.445,39.275,0.675,9.215,,,,,,,,,,
8/04/2019,277.39,357.59,63.35,0.69,9.99,,,,,,,,,,
9/04/2019,277.48,353.35,23.66,0.69,6.66,,,,,,,,,,
10/04/2019,268.43,356.06,19.57,0.64,9.89,,,,,,,,,,
11/04/2019,267.14,346.84,23.85,0.52,5.86,,,,,,,,,,
12/04/2019,267.16,319.73,28.23,1.14,7.78,,,,,,,,,,
13/04/2019,169.81,72.22,30.77,0.86,8.84,,,,,,,,,,
14/04/2019,184.34,52.79,64.73,1.28,5.21,,,,,,,,,,
15/04/2019,189.67,131.01,56.72,0.99,10.58,,,,,,,,,,
16/04/2019,189.51,126.76,21.26,0.68,8.76,,,,,,,,,,
17/04/2019,219.56,224.31,30.95,0.72,9.04,,,,,,,,,,
18/04/2019,259.31,339.75,24.43,0.63,8.25,,,,,,,,,,
19/04/2019,276.77,355.72,33.91,0.64,7.86,,,,,,,,,,
20/04/2019,277.67,359.43,64.94,0.66,7.59,,,,,,,,,,
21/04/2019,277.45,356.31,62.02,0.7,9.05,,,,,,,,,,
22/04/2019,242.65,300.93,33.13,0.64,6.4,,,,,,,,,,
23/04/2019,243.76,301.66,24.33,0.72,6.77,,,,,,,,,,
24/04/2019,249.8,346.445,39.275,0.675,9.215,,,,,,,,,,
25/04/2019,256.21,310.49,34.64,0.74,8.51,,,,,,,,,,
26/04/2019,277.19,356.92,59.6,0.8,7.99,,,,,,,,,,
27/04/2019,282.96,360.55,16.36,0.59,7.5,,,,,,,,,,
28/04/2019,258.24,358.19,35.04,0.8,7.01,,,,,,,,,,
29/04/2019,224.12,155.64,62.15,0.78,3.98,,,,,,,,,,
30/04/2019,159.95,156.02,20.92,0.81,9,,,,,,,,,,
1/05/2019,130.62,324.26,51.4,0.47,7.22,,,,,,,,,,
2/05/2019,171.65,291.64,33.93,0.61,4.24,,,,,,,,,,
3/05/2019,164.94,84.54,32.93,0.58,9.05,,,,,,,,,,
4/05/2019,167.47,233.21,20.43,0.63,5.78,,,,,,,,,,
5/05/2019,157.91,77.47,35.03,0.8099999,5.28,,,,,,,,,,
6/05/2019,201.47,286.88,49.88,0.77,8.03,,,,,,,,,,
7/05/2019,86.435,204.45,52.56,0.56500005,5.485,,,,,,,,,,
8/05/2019,106.08,328.75,40.07,0.72,3.95,,,,,,,,,,
9/05/2019,31.05,123.7,61.05,0.83,7.68,,,,,,,,,,
10/05/2019,95.84,9.02,64.24,0.4,5.91,,,,,,,,,,
11/05/2019,112.49,238.79,51.2,0.63,4.91,,,,,,,,,,
12/05/2019,108.82,363.25,66.24,0.61,3.67,,,,,,,,,,
13/05/2019,63.35,295.13,70.46,0.55,6.13,,,,,,,,,,
14/05/2019,18.47,353.03,58.89,0.64,10.66,,,,,,,,,,
15/05/2019,19.2,49.18,46.5,0.69,6.4,,,,,,,,,,
16/05/2019,20.83,98.46,45.9,0.69,7.18,,,,,,,,,,
17/05/2019,32.67,135.44,70.46,0.63,7.92,,,,,,,,,,
18/05/2019,17.14,119.48,75.64,0.6,7.62,,,,,,,,,,
19/05/2019,40.71,236.49,84.27,0.65,5.74,,,,,,,,,,
20/05/2019,55.16,237.32,55.02,0.56,6.66,,,,,,,,,,
21/05/2019,0.07,36.63,73.99,0.57,5.25,,,,,,,,,,
22/05/2019,0,12.74,58.78,0.55,6.36,,,,,,,,,,
23/05/2019,6.02,57.64,69.49,0.63,8.67,,,,,,,,,,
24/05/2019,76.44,327.75,81.29,0.57,10.79,,,,,,,,,,
25/05/2019,34.74,273.09,63.68,0.54,5.61,,,,,,,,,,
26/05/2019,41.86,336.98,79.93,0.63,5.65,,,,,,,,,,
27/05/2019,86.435,204.45,52.56,0.56500005,5.485,,,,,,,,,,
28/05/2019,70.52,16.24,50.14,0.66,5.68,,,,,,,,,,
29/05/2019,158.89,6.31,49.13,0.6,5.73,,,,,,,,,,
30/05/2019,146.06,3.56,59.15,0.68,3.28,,,,,,,,,,
31/05/2019,160.31,8.45,77.26,0.59,5.25,,,,,,,,,,
1/06/2019,153.1,8.93,77.7,0.67,4.01,,,,,,,,,,
2/06/2019,175.82,0.06,80.32,0.63,6.08,,,,,,,,,,
3/06/2019,203.05,60.02,81.36,0.65,3.78,,,,,,,,,,
4/06/2019,183.3,5.86,58.44,0.64,4.71,,,,,,,,,,
5/06/2019,167.56,6.54,57.89,0.62,3.41,,,,,,,,,,
6/06/2019,166.92,5.68,60.24,0.66,7.43,,,,,,,,,,
7/06/2019,177.62,0.08,70.76,0.66,2.3,,,,,,,,,,
8/06/2019,234.61,106.35,60.95,0.65,6.78,,,,,,,,,,
9/06/2019,218.95,254.14,82.09,0.64,6.62,,,,,,,,,,
10/06/2019,214.89,218.27,81.28,0.57,4.58,,,,,,,,,,
