"Time","A5030504","A5030504","A5030504"
"and","Discharge (Ml/day)","Discharge (Ml/day)","Discharge (Ml/day)"
"Date","Max","Mean","Min"
16/01/1974 00:00,       9.205,       8.410,       7.581
17/01/1974 00:00,       7.581,       6.600,       5.559
18/01/1974 00:00,       5.559,       4.692,       4.171
19/01/1974 00:00,       4.171,       3.624,       3.106
20/01/1974 00:00,       3.106,       2.688,       2.341
21/01/1974 00:00,       2.341,       1.990,       1.577
22/01/1974 00:00,       1.577,       1.287,       1.056
23/01/1974 00:00,       1.056,       0.898,       0.803
24/01/1974 00:00,       0.803,       0.741,       0.679
25/01/1974 00:00,       0.679,       0.617,       0.555
26/01/1974 00:00,       0.555,       0.524,       0.518
27/01/1974 00:00,       0.649,       0.585,       0.520
28/01/1974 00:00,       0.691,       0.621,       0.518
29/01/1974 00:00,       0.691,       0.625,       0.538
30/01/1974 00:00,       0.691,       0.633,       0.518
31/01/1974 00:00,      66.355,      35.326,       0.691
01/02/1974 00:00,    1425.859,     817.493,      32.208
02/02/1974 00:00,     515.074,     243.116,     115.095
03/02/1974 00:00,     115.095,      76.747,      54.242
04/02/1974 00:00,      54.242,      43.584,      35.639
05/02/1974 00:00,      35.639,      29.362,      24.530
06/02/1974 00:00,      24.530,      21.727,      19.644
07/02/1974 00:00,      19.644,      17.920,      15.362
08/02/1974 00:00,      15.362,      14.203,      13.256
09/02/1974 00:00,      13.256,      12.386,      11.489
10/02/1974 00:00,      11.489,      10.264,       9.482
11/02/1974 00:00,       9.482,       8.566,       7.902
12/02/1974 00:00,       7.902,       7.530,       7.169
13/02/1974 00:00,       7.169,       6.539,       5.964
14/02/1974 00:00,       5.964,       5.477,       5.184
15/02/1974 00:00,       5.357,       5.207,       5.046
16/02/1974 00:00,       5.046,       4.857,       4.493
17/02/1974 00:00,       4.838,       4.484,       4.088
18/02/1974 00:00,       4.088,       3.687,       3.283
19/02/1974 00:00,       6.998,       6.449,       3.849
20/02/1974 00:00,       6.518,       6.102,       5.808
21/02/1974 00:00,       5.808,       5.337,       5.011
22/02/1974 00:00,       5.011,       4.601,       3.974
23/02/1974 00:00,       4.061,       3.721,       3.293
24/02/1974 00:00,       3.293,       2.835,       2.505
25/02/1974 00:00,       2.505,       2.268,       2.084
26/02/1974 00:00,       2.084,       1.936,       1.759
27/02/1974 00:00,       1.759,       1.531,       1.307
